sex,lives_with_partner,n_household,retired,age,age_partner,years_of_education,household_income,books_age_10,relative_math_ability_at_age_10,relative_language_ability_at_age_10
female,yes,2,yes,71,71,9,21493,>25,same/worse,same/worse
female,yes,2,yes,76,88,8,35931,0-25,same/worse,better
male,yes,2,yes,73,70,3,22085,0-25,same/worse,same/worse
female,no,1,yes,76,NA,23,21614,>25,better,better
male,yes,2,no,71,62,9,21681,0-25,better,same/worse
female,yes,2,no,65,64,7,12910,0-25,same/worse,same/worse
female,yes,2,no,60,68,12,40608,>25,better,better
male,yes,2,yes,73,67,15,25343,0-25,same/worse,same/worse
male,yes,2,yes,83,73,16,112548,>25,better,same/worse
female,yes,2,no,56,65,15,28999,>25,same/worse,better
female,no,2,no,55,NA,17,34098,>25,same/worse,better
male,no,1,yes,70,NA,9,47042,>25,better,same/worse
female,yes,2,yes,77,73,9,12062,>25,same/worse,same/worse
male,yes,2,yes,77,69,9,76846,0-25,better,better
female,no,1,no,58,NA,18,24219,>25,same/worse,better
female,yes,2,no,56,60,17,26618,>25,better,better
female,no,1,yes,78,NA,11,676,>25,same/worse,better
male,yes,3,no,59,62,10,40947,>25,same/worse,better
female,yes,2,yes,94,82,10,18672,>25,better,same/worse
female,no,1,yes,78,NA,10,3014,0-25,same/worse,better
male,yes,2,yes,73,70,13,40985,0-25,better,better
female,yes,2,no,73,68,11,18491,>25,better,better
male,no,1,no,60,NA,9,31019,0-25,better,same/worse
female,yes,2,yes,68,78,12,29686,>25,better,better
female,yes,2,no,63,62,9,20762,0-25,better,same/worse
male,no,1,yes,73,NA,12,8068,0-25,same/worse,same/worse
female,yes,2,yes,69,71,8,82579,>25,same/worse,same/worse
male,no,1,no,65,NA,13,39541,>25,same/worse,same/worse
female,yes,2,no,64,71,9,20779,0-25,same/worse,same/worse
male,yes,2,yes,68,65,17,15754,>25,same/worse,same/worse
female,no,1,yes,76,NA,12,16541,>25,better,better
male,yes,2,yes,70,66,12,28678,>25,better,same/worse
female,yes,2,yes,73,73,12,34813,>25,same/worse,better
male,no,2,no,59,NA,11,23754,>25,better,better
male,yes,2,yes,77,68,16,22645,>25,same/worse,same/worse
female,yes,2,no,58,60,17,27664,>25,better,better
male,no,1,yes,77,NA,9,1597,0-25,same/worse,same/worse
female,yes,2,yes,67,71,11,52523,>25,better,same/worse
female,no,1,yes,71,NA,10,8465,>25,same/worse,better
female,yes,2,no,62,63,17,33837,0-25,same/worse,same/worse
male,no,1,no,59,NA,17,15570,>25,better,same/worse
female,no,1,yes,81,NA,20,7243,>25,better,better
female,no,1,yes,69,NA,14,16785,>25,same/worse,better
female,yes,2,no,67,64,13,52420,>25,better,better
male,yes,2,no,57,55,17,30798,>25,same/worse,better
female,no,1,yes,73,NA,13,57803,>25,better,better
female,no,1,yes,77,NA,12,1898,>25,same/worse,better
female,no,1,yes,74,NA,14,11749,>25,better,better
female,no,1,yes,78,NA,4,19232,0-25,same/worse,better
male,no,1,no,65,NA,12,45664,>25,same/worse,same/worse
male,no,1,yes,79,NA,9,10521,>25,same/worse,same/worse
female,yes,2,no,69,70,10,29957,0-25,same/worse,same/worse
female,no,1,no,60,NA,10,54498,0-25,better,better
male,no,1,yes,75,NA,17,18974,>25,same/worse,better
male,yes,2,yes,69,68,16,48717,0-25,better,better
female,yes,2,yes,98,82,11,19885,>25,same/worse,same/worse
male,no,1,yes,83,NA,13,5508,0-25,better,better
female,no,1,yes,70,NA,11,15289,>25,better,better
female,yes,2,yes,71,71,20,37803,>25,same/worse,better
female,yes,2,yes,74,78,9,40646,0-25,better,better
male,no,3,yes,67,NA,9,26909,>25,same/worse,same/worse
female,no,1,yes,78,NA,7,17130,0-25,same/worse,same/worse
female,yes,2,yes,68,70,7,9942,0-25,same/worse,same/worse
male,yes,2,yes,70,67,12,38392,0-25,same/worse,better
female,yes,2,yes,76,72,12,47009,>25,same/worse,same/worse
female,no,1,yes,70,NA,7,21650,0-25,better,same/worse
male,yes,2,yes,75,72,14,12641,>25,better,better
female,yes,2,yes,69,73,20,24651,>25,better,better
female,yes,2,yes,68,69,6,64839,0-25,same/worse,same/worse
female,no,1,no,67,NA,15,41553,>25,better,same/worse
male,no,1,yes,77,NA,7,392,0-25,same/worse,same/worse
male,no,2,yes,78,NA,12,24743,0-25,better,better
male,yes,2,yes,77,70,14,34026,0-25,better,same/worse
female,yes,2,yes,69,70,7,11061,>25,same/worse,same/worse
female,no,1,yes,71,NA,10,8715,>25,same/worse,better
female,no,1,yes,74,NA,10,5066,>25,better,same/worse
female,no,1,yes,72,NA,13,23200,>25,same/worse,better
female,yes,2,yes,71,73,9,5955,0-25,same/worse,better
female,yes,2,yes,71,75,11,30083,>25,same/worse,same/worse
male,yes,2,no,69,66,12,35292,>25,better,better
female,no,1,yes,74,NA,14,1668,>25,better,better
male,yes,2,yes,80,69,12,19248,>25,better,same/worse
female,yes,2,no,59,70,13,19297,>25,same/worse,better
female,no,1,yes,70,NA,13,6483,>25,same/worse,same/worse
male,yes,2,yes,71,68,13,31572,>25,better,better
female,yes,2,yes,69,72,8,81025,>25,same/worse,better
male,yes,2,no,63,60,10,26643,0-25,same/worse,same/worse
female,yes,2,yes,74,83,13,12288,0-25,better,better
male,yes,2,yes,74,69,10,19492,>25,better,same/worse
female,yes,2,yes,72,71,12,16545,0-25,same/worse,same/worse
male,yes,2,no,63,57,18,39735,>25,better,better
female,yes,2,no,61,61,11,37704,0-25,same/worse,same/worse
male,yes,2,no,70,66,15,58804,>25,same/worse,better
female,yes,2,yes,63,66,17,27022,>25,same/worse,same/worse
male,yes,2,yes,82,70,14,5213,0-25,same/worse,same/worse
female,yes,2,yes,61,66,6,16190,>25,same/worse,same/worse
male,yes,2,yes,71,67,14,51780,>25,better,better
female,yes,4,no,50,61,17,57461,>25,better,better
male,yes,2,no,61,58,15,19896,0-25,better,same/worse
female,yes,2,yes,71,72,12,30854,>25,better,same/worse
male,yes,3,no,66,66,19,37596,>25,better,better
male,yes,2,yes,73,67,12,33356,>25,better,same/worse
female,yes,2,yes,67,75,9,68361,>25,same/worse,same/worse
female,yes,2,yes,68,74,12,76528,0-25,better,better
male,yes,2,yes,69,66,12,25433,0-25,same/worse,same/worse
female,no,1,yes,73,NA,13,9598,>25,better,same/worse
female,yes,2,yes,73,72,13,34443,0-25,same/worse,better
male,yes,2,no,63,58,15,93938,>25,better,better
male,yes,2,no,66,62,11,32334,>25,better,same/worse
female,yes,2,yes,69,73,18,38040,>25,better,better
male,no,1,no,58,NA,19,23125,>25,same/worse,same/worse
female,no,2,no,72,NA,14,8219,>25,same/worse,same/worse
male,yes,2,no,58,56,13,46147,0-25,better,better
female,yes,2,yes,75,72,17,50621,>25,better,better
female,yes,2,yes,65,67,11,65828,>25,same/worse,same/worse
male,yes,2,yes,74,67,14,22913,>25,better,better
male,no,4,yes,64,NA,7,58078,>25,better,better
female,yes,2,no,65,64,16,26515,>25,better,better
female,no,1,yes,79,NA,5,36752,>25,same/worse,same/worse
female,no,1,no,63,NA,13,7193,>25,same/worse,better
male,yes,2,yes,68,70,10,26631,0-25,better,better
female,yes,2,yes,67,69,22,42026,>25,better,same/worse
female,yes,2,yes,77,78,19,16928,>25,same/worse,better
male,yes,2,yes,78,69,7,10687,0-25,same/worse,same/worse
female,no,1,yes,77,NA,3,12050,0-25,same/worse,better
male,yes,2,yes,70,68,15,41480,>25,same/worse,same/worse
female,yes,2,yes,68,69,15,42484,>25,same/worse,better
female,yes,2,yes,73,73,9,28395,0-25,better,same/worse
male,yes,2,no,60,63,16,33734,>25,better,better
female,no,1,yes,74,NA,7,17790,0-25,same/worse,same/worse
female,yes,2,no,62,64,12,70267,0-25,same/worse,same/worse
male,yes,2,yes,75,69,11,40902,0-25,better,same/worse
male,yes,2,no,63,61,9,24881,0-25,same/worse,same/worse
female,yes,2,no,60,60,11,26354,>25,same/worse,same/worse
male,no,1,yes,75,NA,3,27974,>25,better,same/worse
female,no,1,yes,72,NA,13,37056,>25,same/worse,better
male,yes,2,yes,73,69,8,17716,0-25,better,same/worse
female,yes,2,yes,76,73,12,28253,0-25,same/worse,same/worse
male,yes,2,yes,69,65,13,25638,>25,same/worse,better
female,yes,2,yes,66,73,16,30222,>25,same/worse,better
female,yes,2,yes,80,78,8,6901,0-25,same/worse,better
male,yes,2,yes,73,72,5,51139,0-25,better,same/worse
female,yes,2,no,57,61,11,33992,>25,better,same/worse
male,yes,2,no,56,57,11,56396,>25,same/worse,same/worse
female,yes,2,no,59,65,9,35946,>25,same/worse,same/worse
male,yes,2,no,60,56,9,74779,>25,same/worse,better
male,yes,2,yes,79,71,7,65290,0-25,same/worse,same/worse
male,yes,2,yes,69,68,11,56062,>25,better,better
male,no,1,yes,71,NA,9,2941,0-25,same/worse,same/worse
male,yes,2,yes,70,71,18,41118,0-25,better,same/worse
female,yes,2,yes,67,69,4,21763,0-25,better,same/worse
female,yes,2,yes,77,73,13,37504,0-25,better,better
female,no,1,no,61,NA,7,9259,0-25,same/worse,better
male,no,1,yes,75,NA,12,14968,>25,same/worse,better
female,yes,2,yes,67,73,14,95159,>25,better,same/worse
female,no,1,yes,81,NA,7,709,>25,better,better
male,yes,2,no,55,54,12,31203,>25,better,better
male,yes,2,yes,70,64,11,17367,0-25,same/worse,same/worse
female,no,1,no,62,NA,6,18336,0-25,same/worse,same/worse
female,no,1,no,64,NA,14,23030,>25,same/worse,same/worse
male,yes,2,yes,70,69,13,28137,>25,same/worse,better
male,yes,2,yes,79,78,10,32116,0-25,same/worse,same/worse
female,yes,2,yes,70,84,10,29037,0-25,better,better
male,yes,2,yes,73,67,9,16554,0-25,same/worse,same/worse
female,yes,2,yes,66,84,13,72372,>25,same/worse,better
male,no,1,yes,77,NA,20,9738,>25,better,better
female,no,1,yes,75,NA,2,950,0-25,better,same/worse
female,yes,2,no,69,65,18,36747,>25,same/worse,better
female,no,1,yes,74,NA,9,10701,0-25,same/worse,same/worse
female,yes,2,yes,75,75,7,19457,>25,same/worse,same/worse
female,yes,2,yes,66,70,12,38600,>25,same/worse,better
male,yes,2,yes,76,73,14,28144,>25,better,same/worse
female,no,1,no,58,NA,13,42517,>25,better,same/worse
female,no,1,yes,82,NA,8,5452,>25,better,better
male,no,1,yes,76,NA,8,22915,0-25,same/worse,same/worse
